iter	Passed	Remaining
577	10853	7923
578	10865	7900
579	10880	7879
580	10898	7859
581	10952	7866
582	10982	7855
583	10999	7835
584	11015	7814
585	11031	7793
586	11046	7772
587	11062	7750
588	11076	7729
589	11090	7706
590	11105	7685
591	11121	7664
592	11135	7642
593	11151	7622
594	11165	7600
595	11184	7581
596	11199	7559
597	11214	7538
598	11231	7518
599	11246	7497
600	11262	7476
601	11276	7455
602	11291	7434
603	11309	7414
604	11327	7395
605	11344	7375
606	11359	7354
607	11373	7333
608	11388	7312
609	11402	7289
610	11418	7269
611	11434	7249
612	11454	7231
613	11468	7209
614	11481	7187
615	11498	7168
616	11514	7147
617	11529	7126
618	11544	7105
619	11557	7083
620	11571	7061
621	11595	7046
622	11609	7025
623	11624	7004
624	11642	6985
625	11655	6963
626	11672	6944
627	11687	6923
628	11700	6901
629	11714	6880
630	11740	6865
631	11753	6843
632	11768	6823
633	11781	6801
634	11795	6780
635	11812	6760
636	11831	6742
637	11849	6723
638	11864	6702
639	11880	6682
640	11896	6662
641	11912	6642
642	11928	6622
643	11943	6602
644	11959	6582
645	11976	6563
646	11994	6543
647	12006	6521
648	12019	6500
649	12031	6478
650	12051	6460
651	12067	6440
652	12085	6422
653	12102	6402
654	12117	6382
655	12138	6365
656	12157	6347
657	12173	6327
658	12190	6308
659	12207	6288
660	12222	6268
661	12241	6250
662	12260	6231
663	12280	6214
664	12320	6206
665	12338	6187
666	12355	6168
667	12372	6149
668	12418	6144
669	12466	6140
670	12498	6128
671	12526	6113
672	12550	6097
673	12574	6082
674	12596	6064
675	12619	6048
676	12641	6031
677	12662	6013
678	12683	5996
679	12699	5976
680	12715	5956
681	12733	5937
682	12754	5919
683	12771	5900
684	12790	5881
685	12807	5862
686	12833	5847
687	12858	5830
688	12879	5813
689	12902	5796
690	12924	5779
691	13001	5786
692	13026	5770
693	13045	5751
694	13064	5733
695	13084	5715
696	13104	5696
697	13119	5676
698	13133	5655
699	13148	5635
700	13161	5613
701	13174	5592
702	13188	5571
703	13200	5550
704	13214	5529
705	13227	5508
706	13244	5488
707	13261	5469
708	13275	5448
709	13290	5428
710	13305	5408
711	13317	5387
712	13333	5366
713	13350	5347
714	13366	5327
715	13380	5307
716	13397	5288
717	13413	5268
718	13429	5248
719	13447	5229
720	13467	5211
721	13488	5193
722	13517	5178
723	13542	5162
724	13560	5143
725	13582	5126
726	13598	5106
727	13613	5086
728	13633	5068
729	13653	5049
730	13669	5030
731	13689	5011
732	13711	4994
733	13731	4976
734	13752	4958
735	13770	4939
736	13783	4918
737	13801	4899
738	13815	4879
739	13831	4859
740	13848	4840
741	13868	4822
742	13883	4802
743	13900	4782
744	13915	4763
745	13933	4744
746	13946	4723
747	13959	4702
748	13974	4683
749	13989	4663
750	14007	4644
751	14021	4624
752	14036	4604
753	14049	4583
754	14063	4563
755	14086	4546
756	14116	4531
757	14132	4511
758	14152	4493
759	14170	4474
760	14186	4455
761	14213	4439
762	14232	4420
763	14250	4402
764	14266	4382
765	14283	4363
766	14303	4344
767	14317	4325
768	14337	4306
769	14353	4287
770	14371	4268
771	14396	4251
772	14413	4232
773	14430	4213
774	14448	4194
775	14470	4177
776	14494	4159
777	14513	4141
778	14531	4122
779	14548	4103
780	14571	4086
781	14589	4067
782	14611	4049
783	14627	4030
784	14641	4010
785	14655	3990
786	14679	3973
787	14705	3956
788	14722	3937
789	14738	3917
790	14751	3897
791	14763	3877
792	14777	3857
793	14792	3837
794	14809	3818
795	14824	3799
796	14840	3779
797	14854	3760
798	14869	3740
799	14883	3720
800	14897	3701
801	14918	3683
802	14934	3663
803	14950	3644
804	14971	3626
805	14985	3607
806	15002	3587
807	15018	3568
808	15040	3550
809	15056	3531
810	15072	3512
811	15087	3493
812	15104	3474
813	15122	3455
814	15138	3436
815	15152	3416
816	15167	3397
817	15185	3378
818	15202	3359
819	15218	3340
820	15234	3321
821	15251	3302
822	15267	3283
823	15280	3263
824	15296	3244
825	15309	3225
826	15322	3205
827	15336	3185
828	15349	3166
829	15366	3147
830	15386	3129
831	15400	3109
832	15414	3090
833	15426	3070
834	15440	3051
835	15453	3031
836	15467	3012
837	15480	2992
838	15494	2973
839	15509	2954
840	15527	2935
841	15543	2916
842	15562	2898
843	15580	2879
844	15593	2860
845	15607	2841
846	15621	2821
847	15635	2802
848	15651	2783
849	15665	2764
850	15680	2745
851	15693	2726
852	15711	2707
853	15727	2688
854	15744	2670
855	15762	2651
856	15779	2632
857	15793	2613
858	15804	2594
859	15819	2575
860	15842	2557
861	15862	2539
862	15877	2520
863	15890	2501
864	15907	2482
865	15921	2463
866	15935	2444
867	15953	2426
868	15975	2408
869	15992	2389
870	16012	2371
871	16034	2353
872	16051	2335
873	16069	2316
874	16088	2298
875	16105	2279
876	16122	2261
877	16139	2242
878	16157	2224
879	16175	2205
880	16196	2187
881	16223	2170
882	16242	2152
883	16258	2133
884	16275	2114
885	16290	2096
886	16307	2077
887	16326	2059
888	16396	2047
889	16441	2032
890	16458	2013
891	16473	1994
892	16494	1976
893	16508	1957
894	16526	1938
895	16542	1920
896	16556	1901
897	16573	1882
898	16594	1864
899	16610	1845
900	16627	1827
901	16641	1808
902	16660	1789
903	16677	1771
904	16696	1752
905	16712	1733
906	16729	1715
907	16747	1696
908	16764	1678
909	16780	1659
910	16794	1640
911	16809	1621
912	16826	1603
913	16843	1584
914	16858	1566
915	16872	1547
916	16886	1528
917	16901	1509
918	16916	1491
919	16935	1472
920	16949	1453
921	16966	1435
922	16984	1416
923	17002	1398
924	17022	1380
925	17036	1361
926	17051	1342
927	17068	1324
928	17083	1305
929	17096	1286
930	17108	1268
931	17121	1249
932	17139	1230
933	17160	1212
934	17175	1194
935	17190	1175
936	17207	1156
937	17225	1138
938	17240	1120
939	17254	1101
940	17268	1082
941	17280	1063
942	17296	1045
943	17313	1027
944	17330	1008
945	17347	990
946	17363	971
947	17379	953
948	17394	934
949	17413	916
950	17430	898
951	17446	879
952	17463	861
953	17477	842
954	17494	824
955	17510	805
956	17529	787
957	17546	769
958	17619	753
959	17641	735
960	17660	716
961	17679	698
962	17695	679
963	17711	661
964	17728	643
965	17743	624
966	17758	606
967	17775	587
968	17789	569
969	17803	550
970	17825	532
971	17841	513
972	17857	495
973	17875	477
974	17892	458
975	17905	440
976	17921	421
977	17938	403
978	17953	385
979	17970	366
980	17983	348
981	17997	329
982	18012	311
983	18027	293
984	18043	274
985	18057	256
986	18071	238
987	18085	219
988	18100	201
989	18114	182
990	18133	164
991	18158	146
992	18181	128
993	18198	109
994	18216	91
995	18242	73
996	18259	54
997	18282	36
998	18300	18
999	18318	0
